row_id,column,original_value,injected_value,error_type,error_family
51,sched_dep_time,7:10 a.m.,,real_world,missing_values
53,sched_dep_time,6:40 a.m.,,real_world,missing_values
54,sched_dep_time,8:00 a.m.,,real_world,missing_values
55,sched_dep_time,8:41 a.m.,,real_world,missing_values
56,sched_dep_time,7:45 p.m.,,real_world,missing_values
57,sched_dep_time,3:27 p.m.,,real_world,missing_values
59,sched_dep_time,11:25 a.m.,,real_world,missing_values
60,sched_dep_time,10:39 a.m.,,real_world,missing_values
61,sched_dep_time,11:25 p.m.,,real_world,missing_values
62,sched_dep_time,6:00 a.m.,,real_world,missing_values
64,sched_dep_time,4:00 p.m.,,real_world,missing_values
67,sched_dep_time,9:05 a.m.,,real_world,missing_values
68,sched_dep_time,8:15 a.m.,,real_world,missing_values
69,sched_dep_time,7:00 a.m.,,real_world,missing_values
70,sched_dep_time,4:15 p.m.,,real_world,missing_values
71,sched_dep_time,10:45 a.m.,,real_world,missing_values
74,sched_dep_time,2:55 p.m.,,real_world,missing_values
75,sched_dep_time,11:50 a.m.,,real_world,missing_values
77,sched_dep_time,6:00 a.m.,,real_world,missing_values
78,sched_dep_time,11:05 a.m.,,real_world,missing_values
81,sched_dep_time,10:15 a.m.,,real_world,missing_values
82,sched_dep_time,1:00 p.m.,,real_world,missing_values
83,sched_dep_time,7:53 a.m.,,real_world,missing_values
84,sched_dep_time,12:30 p.m.,,real_world,missing_values
85,sched_dep_time,11:45 a.m.,,real_world,missing_values
86,sched_dep_time,2:30 p.m.,,real_world,missing_values
87,sched_dep_time,12:00 a.m.,,real_world,missing_values
90,sched_dep_time,10:40 a.m.,,real_world,missing_values
91,sched_dep_time,12:57 p.m.,,real_world,missing_values
93,sched_dep_time,7:15 a.m.,,real_world,missing_values
94,sched_dep_time,6:30 p.m.,,real_world,missing_values
95,sched_dep_time,6:45 p.m.,,real_world,missing_values
96,sched_dep_time,12:00 p.m.,,real_world,missing_values
98,sched_dep_time,1:55 p.m.,,real_world,missing_values
100,sched_dep_time,6:00 a.m.,,real_world,missing_values
101,sched_dep_time,7:10 a.m.,,real_world,missing_values
102,sched_dep_time,4:55 p.m.,,real_world,missing_values
103,sched_dep_time,7:25 a.m.,,real_world,missing_values
104,sched_dep_time,3:50 p.m.,,real_world,missing_values
105,sched_dep_time,4:16 p.m.,,real_world,missing_values
106,sched_dep_time,8:00 p.m.,,real_world,missing_values
108,sched_dep_time,7:05 a.m.,,real_world,missing_values
109,sched_dep_time,10:40 a.m.,,real_world,missing_values
110,sched_dep_time,1:33 p.m.,,real_world,missing_values
111,sched_dep_time,12:15 p.m.,,real_world,missing_values
113,sched_dep_time,11:55 p.m.,,real_world,missing_values
114,sched_dep_time,4:25 p.m.,,real_world,missing_values
115,sched_dep_time,9:00 p.m.,,real_world,missing_values
116,sched_dep_time,8:25 p.m.,,real_world,missing_values
117,sched_dep_time,6:59 a.m.,,real_world,missing_values
118,sched_dep_time,8:35 a.m.,,real_world,missing_values
119,sched_dep_time,8:29 a.m.,,real_world,missing_values
120,sched_dep_time,1:30 p.m.,,real_world,missing_values
122,sched_dep_time,7:35 a.m.,,real_world,missing_values
124,sched_dep_time,5:30 p.m.,,real_world,missing_values
125,sched_dep_time,1:45 p.m.,,real_world,missing_values
126,sched_dep_time,11:15 a.m.,,real_world,missing_values
